NAME,GEO_ID,Mean Travel Time to Work
"Stewart County, Tennessee",0500000US47161,32.0
"Sumner County, Tennessee",0500000US47165,27.6
"Trousdale County, Tennessee",0500000US47169,31.9
"Williamson County, Tennessee",0500000US47187,27.0
"Wilson County, Tennessee",0500000US47189,27.8
"Cheatham County, Tennessee",0500000US47021,32.7
"Davidson County, Tennessee",0500000US47037,23.1
"Dickson County, Tennessee",0500000US47043,29.9
"Houston County, Tennessee",0500000US47083,27.8
"Humphreys County, Tennessee",0500000US47085,25.6
"Macon County, Tennessee",0500000US47111,30.5
"Maury County, Tennessee",0500000US47119,26.6
"Montgomery County, Tennessee",0500000US47125,24.4
"Robertson County, Tennessee",0500000US47147,28.5
"Rutherford County, Tennessee",0500000US47149,26.1
"Allen County, Kentucky",0500000US21003,26.8
"Simpson County, Kentucky",0500000US21213,18.3
"Scottsville city, Kentucky",1600000US2169114,19.9
"Fort Knox CDP, Kentucky",1600000US2128540,11.3
"Franklin city, Kentucky",1600000US2128918,17.4
"Adams city, Tennessee",1600000US4700200,22.2
"Ashland City town, Tennessee",1600000US4702180,27.3
"Belle Meade city, Tennessee",1600000US4704620,18.9
"Berry Hill city, Tennessee",1600000US4705140,15.5
"Brentwood city, Tennessee",1600000US4708280,24.0
"Burns town, Tennessee",1600000US4709880,27.5
"Cedar Hill city, Tennessee",1600000US4711980,30.6
"Charlotte town, Tennessee",1600000US4713080,32.3
"Clarksville city, Tennessee",1600000US4715160,23.1
"Columbia city, Tennessee",1600000US4716540,24.2
"Coopertown town, Tennessee",1600000US4716980,35.6
"Cross Plains city, Tennessee",1600000US4718420,30.2
"Cumberland City town, Tennessee",1600000US4718820,23.3
"Dickson city, Tennessee",1600000US4720620,22.8
"Dover city, Tennessee",1600000US4721400,23.5
"Eagleville city, Tennessee",1600000US4722360,34.0
"Erin city, Tennessee",1600000US4724320,27.6
"Fairview city, Tennessee",1600000US4725440,38.0
"Forest Hills city, Tennessee",1600000US4727020,20.8
"Franklin city, Tennessee",1600000US4727740,23.4
"Gallatin city, Tennessee",1600000US4728540,23.8
"Goodlettsville city, Tennessee",1600000US4729920,24.8
"Greenbrier town, Tennessee",1600000US4730960,28.1
"Hendersonville city, Tennessee",1600000US4733280,26.7
"Kingston Springs town, Tennessee",1600000US4739660,31.6
"Lafayette city, Tennessee",1600000US4740160,28.2
"La Vergne city, Tennessee",1600000US4741200,29.4
"Lebanon city, Tennessee",1600000US4741520,22.3
"McEwen city, Tennessee",1600000US4744840,30.2
"Millersville city, Tennessee",1600000US4748980,28.1
"Mitchellville city, Tennessee",1600000US4749460,17.9
"Mount Juliet city, Tennessee",1600000US4750780,27.9
"Mount Pleasant city, Tennessee",1600000US4751080,19.8
"Murfreesboro city, Tennessee",1600000US4751560,24.5
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,23.2
"New Johnsonville city, Tennessee",1600000US4752820,20.3
"Nolensville town, Tennessee",1600000US4753460,27.9
"Oak Hill city, Tennessee",1600000US4754780,17.4
"Pegram town, Tennessee",1600000US4757480,30.2
"Pleasant View city, Tennessee",1600000US4759560,32.6
"Portland city, Tennessee",1600000US4760280,29.9
"Ridgetop city, Tennessee",1600000US4763140,29.7
"Slayden town, Tennessee",1600000US4769080,47.0
"Smyrna town, Tennessee",1600000US4769420,24.4
"Springfield city, Tennessee",1600000US4770500,22.6
"Spring Hill city, Tennessee",1600000US4770580,32.7
"Tennessee Ridge town, Tennessee",1600000US4773460,26.3
"Thompson's Station town, Tennessee",1600000US4773900,33.0
"Vanleer town, Tennessee",1600000US4776860,25.3
"Watertown city, Tennessee",1600000US4778320,30.5
"Waverly city, Tennessee",1600000US4778560,19.8
"Westmoreland town, Tennessee",1600000US4779420,33.4
"White Bluff town, Tennessee",1600000US4779980,32.6
"White House city, Tennessee",1600000US4780200,28.8
Tennessee,0400000US47,23.9
United States,0100000US,25.2
