NAME,GEO_ID,ALAND
"Franklin city, Kentucky",1600000US2128918,38193278.0
"Scottsville city, Kentucky",1600000US2169114,16324141.0
"Mount Juliet city, Tennessee",1600000US4750780,64916461.0
"Clarksville city, Tennessee",1600000US4715160,257446809.0
"Dover city, Tennessee",1600000US4721400,9909807.0
"Westmoreland town, Tennessee",1600000US4779420,10825006.0
"Kingston Springs town, Tennessee",1600000US4739660,26037988.0
"Pegram town, Tennessee",1600000US4757480,18771285.0
"Pleasant View city, Tennessee",1600000US4759560,32430812.0
"Eagleville city, Tennessee",1600000US4722360,7287936.0
"Cumberland City town, Tennessee",1600000US4718820,12963407.0
"Tennessee Ridge town, Tennessee",1600000US4773460,9711918.0
"White Bluff town, Tennessee",1600000US4779980,16307871.0
"Dickson city, Tennessee",1600000US4720620,52368633.0
"Burns town, Tennessee",1600000US4709880,8747786.0
"Charlotte town, Tennessee",1600000US4713080,10510774.0
"Slayden town, Tennessee",1600000US4769080,3969944.0
"Vanleer town, Tennessee",1600000US4776860,2040761.0
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,1232275559.0
"Goodlettsville city, Tennessee",1600000US4729920,37379180.0
"Berry Hill city, Tennessee",1600000US4705140,2345866.0
"Ridgetop city, Tennessee",1600000US4763140,7840691.0
"Franklin city, Tennessee",1600000US4727740,110727013.0
"Watertown city, Tennessee",1600000US4778320,3719547.0
"Ashland City town, Tennessee",1600000US4702180,27630180.0
"Lebanon city, Tennessee",1600000US4741520,102703084.0
"Hendersonville city, Tennessee",1600000US4733280,81371524.0
"Portland city, Tennessee",1600000US4760280,37560325.0
"Waverly city, Tennessee",1600000US4778560,22568003.0
"Cross Plains city, Tennessee",1600000US4718420,22505036.0
"Millersville city, Tennessee",1600000US4748980,35841512.0
"White House city, Tennessee",1600000US4780200,29050008.0
"Nolensville town, Tennessee",1600000US4753460,27049103.0
"Thompson's Station town, Tennessee",1600000US4773900,52696818.0
"Adams city, Tennessee",1600000US4700200,6191502.0
"Brentwood city, Tennessee",1600000US4708280,106473686.0
"Fairview city, Tennessee",1600000US4725440,44900462.0
"McEwen city, Tennessee",1600000US4744840,4772694.0
"Belle Meade city, Tennessee",1600000US4704620,7951661.0
"Forest Hills city, Tennessee",1600000US4727020,23921030.0
"Oak Hill city, Tennessee",1600000US4754780,20317732.0
"Lafayette city, Tennessee",1600000US4740160,13705297.0
"New Johnsonville city, Tennessee",1600000US4752820,13325817.0
"Columbia city, Tennessee",1600000US4716540,85726836.0
"Mount Pleasant city, Tennessee",1600000US4751080,32574067.0
"La Vergne city, Tennessee",1600000US4741200,64010903.0
"Murfreesboro city, Tennessee",1600000US4751560,162879966.0
"Erin city, Tennessee",1600000US4724320,10091312.0
"Springfield city, Tennessee",1600000US4770500,34002129.0
"Smyrna town, Tennessee",1600000US4769420,85540563.0
"Cedar Hill city, Tennessee",1600000US4711980,1667976.0
"Greenbrier town, Tennessee",1600000US4730960,18824563.0
"Coopertown town, Tennessee",1600000US4716980,81842735.0
"Spring Hill city, Tennessee",1600000US4770580,69349129.0
"Gallatin city, Tennessee",1600000US4728540,83327994.0
"Mitchellville city, Tennessee",1600000US4749460,1390529.0
"Rutherford County, Tennessee",0500000US47149,1603892832.0
"Trousdale County, Tennessee",0500000US47169,296143586.0
"Sumner County, Tennessee",0500000US47165,1371292904.0
"Stewart County, Tennessee",0500000US47161,1190814528.0
"Macon County, Tennessee",0500000US47111,795498346.0
"Houston County, Tennessee",0500000US47083,518758193.0
"Humphreys County, Tennessee",0500000US47085,1374668727.0
"Montgomery County, Tennessee",0500000US47125,1396441787.0
"Dickson County, Tennessee",0500000US47043,1268830618.0
"Williamson County, Tennessee",0500000US47187,1509607199.0
"Robertson County, Tennessee",0500000US47147,1233703847.0
"Wilson County, Tennessee",0500000US47189,1478548412.0
"Davidson County, Tennessee",0500000US47037,1304564434.0
"Cheatham County, Tennessee",0500000US47021,783480108.0
"Maury County, Tennessee",0500000US47119,1588022045.0
"Allen County, Kentucky",0500000US21003,891838778.0
"Simpson County, Kentucky",0500000US21213,606589242.0
GNRC,,15330747175.0
GNRC Region,,16918769220.0
MPO,,10089631673.0
Rutherford Incorporated,None,319719368.0
Rutherford Unincorporated,None,1284173464.0
Wilson Incorporated,None,171339092.0
Wilson Unincorporated,None,1307209320.0
Cheatham Incorporated,None,104870265.0
Cheatham Unincorporated,None,678609843.0
Dickson Incorporated,None,93945769.0
Dickson Unincorporated,None,1174884849.0
Humphreys Incorporated,None,40666514.0
Humphreys Unincorporated,None,1334002213.0
Montgomery Incorporated,None,257446809.0
Montgomery Unincorporated,None,1138994978.0
